Date of Collection	Date of Preservation	Species	Sample Description	Sample ID	DOE	DOD	"Further remarks, on box"	Number of samples inside	Location
30-03-2023	-	-	1 Wasp Larva	N1	-	-	-	1	"Boys toiler, CES"
14-04-2023	-	-	1 Wasp	R2	23-04-2023	-	Wasp emerged from Hanuman	1	Hanuman
30-08-2023	-	Eumenes	2 Wasps	R1	13-09-2023	-	-	2	Asparagus fern
19-04-2023	-	Mud Dauber species	-	R3	-	-	70% alcohol	1	-
27-03-2023	-	-	1 pale yellow wasp	N2	-	-	"Wasp final instar no. 1, pale yellow color"	1	Garden office
25-03-2023	-	-	1 larva and 1 later stage larva	R4	-	-	70% alcohol	2	"OC building, 2nd floor 1st right room"
14-04-2023	-	-	1 Larva	N-2	-	-	Larva from N-1	1	Hanuman temple
18-10-2023	-	-	2 Larva	N-5	-	-	-	2	S Block
24-04-2023	-	Chrysididne	2 wasps	N-5	10-05-2023	-	-	2	Muthuraya temple
08-03-2023	-	Conoideum Male	1 wasp	R5	12-04-2023	-	-	1	
16-02-2023	-	-	2 wasps	R6	-	-	"Wasp in 90% alcohol, transferred on 23/3/23, Nest from window grill. nest with crepissage"	2	OC building
15-03-2023	04-04-2023	-	2 wasps	N-2	-	-	-	2	Mech engg
24-04-2023	-	Chrysidid	1 wasp	N-14	10-04-2023	-	-	1	Muthuraya temple
26-04-2023	-	-	1 wasp	N-17	-	-	Wasp from N-17 of 24/4/23	1	Muthuraya temple
10-01-2024	-	-	1 wasp	R7	-	-	-	1	Nursery IIsc
08-07-2024	-	-	1 wasp	R8	-	-	"Cell 4 development, wing defect"	1	NCBS Nest
26-07-2024	-	-	1 wasp	Cell-1	-	-	-	1	Vayu Vihar
14-08-2024	-	P. flavopictus	1 wasp	N7	-	-	-	1	Wood science
14-08-2024	-	-	1 wasp	R9	-	-	"Pink, (female)"	1	"NCBS, Nursery small net cloth cage"
01-08-2024	-	-	1 wasp	Cell-2	-	-	"Wasps, female"	1	Vayu Vihar
12-07-2024	-	-	1 wasp	R11	-	-	ORANGE	1	LAB
29-03-2024	-	Phimenes	1 egg from cage	R12	-	-	"70% alc, wasp white, egg broke while handling"	1	-
17-08-2024	-	-	1 wasp	R13	-	-	"Brown, Female,"	1	"NCBS nest, Nursery enelaser"
07-08-2024	-	-	1 wasp	R14	-	-	Grey death in Lab box	1	NCBS Nest
13-07-2024	-	-	1 wasp	R15	-	-	SKY BLUE	1	-
-	-	Phimenes	1 wasp	R16	20-12-2023	29-03-2024	"Phimenes from cage, colorless found dead, 70% alc"	1	-
-	-	-	1 wasp	R17	-	-	"Unknown sp, potter wasp"	-	-
-	-	Phimenes male	1 wasp	R18	09-09-2024	11-09-2024	died in black cage	1	garden and nursery
09-08-2024	-	-	1 wasp	R19	-	-	found a missing wasps dead body	1	GKVK/NCBS Nursery
23-07-2024	-	-	1 wasp	R20	-	-	white	1	GKVK
17-05-2024	-	Conoideum	1 wasp	R21	-	15/5/24 (?)	"from the cage, possibly dead on 15/5/24"	1	-
01-07-2024	-	Phimenes	1 wasp	R22	-	-	"from Black cage (brown), female found dead"	1	-
24-07-2024	-	P. flavopictus	1 wasp	N-15	-	-	TAS	1	-
10-08-2024	-	#NAME?	1 wasp	R23	-	-	"Black, Small cloth cage"	1	"NCBS, Nursery small net cloth cage"
-	-	Phimenes female	1 wasp	R24	-	10-09-2024	"from cage, was the lone female in cage"	1	-
01-12-2024	-	-	1	R25	-	-	Coimbatore collector	1	Shaktivel
01-12-2024	-	-	nest remnants	R26	-	-	"PW (sp?) nest remnants,"	-	Shaktivel
05-08-2025	-	Delta conoideum	1 wasp	R27	-	-	 undeveloped	1	-
24-12-2023	23-06-2023	-	nest remnants	N-17	-	-	"Remnants from nest, pulverized on 23/6/23"	-	Mudhuraya
14-04-2023	02-05-2023	Mud dauber species	debris	R28	-	-	-	-	Muthuraya temple
06-03-2023	-	-	-	-	-	-	broken nest from handle of table	-	handle of table
-	-	-	multiple wasps	Cell-4	-	-	Jalahalli nest	multiple	Jalahalli
-	-	-	multiple wasps	Cell-2	-	-	Jalahalli nest	multiple	Jalahalli
19-06-2025	-	Phimenes	1 wasp	R29	-	20-06-2025	-	1	NCBS
02-05-2023	-	Eulophids	-	4	-	-	Eulophids sorted out from debris	-	Muthuraya temple
17-10-2023	-	Hornets	2 hornets	7	-	-	"from lobby bio sci building 2, from cage in garden"	2	Biosci building
